H-Hand Detected,H-Distance,H-Illegal Objects,H-Prohibited Item,F-Hand Detected,F-Distance,F-Illegal Objects,F-Prohibited Item,num_faces,iris_pos,iris_ratio,mouth_zone,mouth_area,x_rotation,y_rotation,z_rotation,radial_distance,gaze_direction,gaze_zone,verification_result,Cheat Score,timestamp,face_is_cheating,hand_is_cheating,is_cheating
True,,0,[],False,,1,['headphone'],1,center,0.48675261126691804,YELLOW,365.0,0,0,0,64803.77264283169,left,red,True,50,0-05-04-266437,0,0,0
True,,0,[],False,,1,['headphone'],1,center,0.4797798237163408,GREEN,83.0,0,0,0,64774.583422929936,left,red,True,50,0-04-11-966477,0,0,0
True,,0,[],True,,0,[],1,center,0.42660138650073876,GREEN,131.5,0,0,0,64789.86650431223,left,red,True,50,0-04-32-299795,0,0,0
True,,0,[],False,,0,[],0,,0.0,,0.0,0,0,0,0.0,,,False,50,0-03-59-833153,0,0,0
True,,0,[],False,,0,[],1,right,0.3647293831538389,GREEN,9.5,0,0,0,5083.970137549005,right,red,True,50,0-02-29-433221,0,0,0
True,,0,[],False,,0,[],1,right,0.37892094304891766,GREEN,68.0,0,0,0,5404.084937026987,right,red,True,50,0-01-18-866607,0,0,0
True,,0,[],False,,0,[],1,right,0.4091835684146547,GREEN,10.0,0,0,0,64890.20775738229,left,red,True,50,0-02-25-333224,0,0,0
True,,0,[],False,,0,[],1,right,0.41522739926869984,GREEN,48.0,0,0,0,4894.517970756355,right,red,True,50,0-01-28-333267,0,0,0
False,,0,[],False,,0,[],1,left,0.5713274843201775,GREEN,56.5,0,0,0,64775.87048375008,left,red,True,50,0-04-38-633123,0,0,0
True,,0,[],False,,0,[],1,right,0.4191368221424547,GREEN,3.0,0,0,0,64715.60985053188,left,red,False,50,0-05-53-299734,1,0,1
False,,0,[],False,,0,[],1,right,0.3857414923312089,GREEN,70.5,0,0,0,4132.500632736645,right,red,True,50,0-04-17-366473,0,0,0
False,,0,[],False,,0,[],1,center,0.45868948059003967,GREEN,10.0,0,0,0,64893.13960080389,left,red,True,50,0-01-51-966582,0,0,0
True,,0,[],False,,0,[],1,center,0.4249182927993987,GREEN,6.0,0,0,0,64966.54228433642,left,red,True,50,0-02-12-866567,0,0,0
True,,0,[],False,,0,[],1,center,0.46508725676585677,GREEN,125.0,0,0,0,64943.35348630242,left,red,True,50,0-01-10-999947,0,0,0
False,,0,[],False,,0,[],0,,0.0,,0.0,0,0,0,0.0,,,False,50,0-06-41-833031,1,0,1
True,,0,[],False,,0,[],1,center,0.519777698189052,GREEN,21.5,0,0,0,64817.16949448266,left,red,True,50,0-00-29-866644,0,0,0
False,,0,[],False,,0,[],1,right,0.3732884438274,GREEN,110.5,0,0,0,5633.6314767555305,right,red,True,50,0-07-15-099672,0,0,0
True,,0,[],False,,0,[],1,center,0.48785378437026783,ORANGE,562.0,0,0,0,5080.994480654587,right,red,True,50,0-00-45-066633,0,0,0
True,,0,[],False,,0,[],1,center,0.46177407259139946,GREEN,160.0,0,0,0,3873.3847723333793,right,red,True,50,0-07-14-466339,0,0,0
False,,0,[],False,,0,[],1,center,0.44339300118198127,GREEN,49.5,0,0,0,3420.4435315176224,right,red,True,50,0-02-01-066575,0,0,0
True,107.48953437428223,1,['cell phone'],False,,0,[],1,center,0.49852724275079074,GREEN,27.5,0,0,0,64795.27293352533,left,red,True,50,0-00-20-933318,0,1,1
True,,0,[],False,,1,['headphone'],1,center,0.5467806435536544,YELLOW,259.5,0,0,0,64797.89299714097,left,red,True,50,0-00-58-566623,0,0,0
True,,0,[],False,,0,[],1,center,0.45188959293637665,GREEN,77.5,0,0,0,7068.513339177528,right,red,False,50,0-06-00-266395,1,0,1
