H-Hand Detected,H-Distance,H-Illegal Objects,H-Prohibited Item,F-Hand Detected,F-Distance,F-Illegal Objects,F-Prohibited Item,num_faces,iris_pos,iris_ratio,mouth_zone,mouth_area,x_rotation,y_rotation,z_rotation,radial_distance,gaze_direction,gaze_zone,verification_result,Cheat Score,timestamp,face_is_cheating,hand_is_cheating,split,video,is_cheating
False,,1,['cell phone'],False,,0,[],1,center,0.5362934080044491,GREEN,85.5,0,0,0,1.3973965459135629,forward,white,True,1,0-01-07.850000,1,1,Train,Video1,1
True,96.38464608017192,1,['cell phone'],False,,1,['headphone'],1,center,0.4711428474315455,GREEN,22.0,0,0,0,9.820554561374863,down,white,True,1,0-01-27.600000,1,1,Train,Video1,1
True,,0,[],False,,1,['headphone'],1,center,0.48141946977906175,ORANGE,545.0,0,0,0,8.198095917134975,down,white,True,1,0-02-20.100000,1,1,Train,Video1,1
True,,0,[],False,,0,[],1,center,0.4377604838780405,GREEN,126.5,0,0,0,2.6830871368433145,forward,white,True,1,0-00-31.350000,1,1,Train,Video1,1
True,292.056501382866,1,['watch'],False,,0,[],0,,0.0,,0.0,0,0,0,0.0,,,False,1,0-02-26.450000,1,1,Train,Video1,1
True,,0,[],False,,0,[],1,center,0.44538342402818104,GREEN,72.5,0,0,0,1.5481145164806738,forward,white,True,1,0-01-02.350000,1,1,Train,Video1,1
False,,0,[],False,,0,[],0,,0.0,,0.0,0,0,0,0.0,,,False,1,0-01-36.650000,1,1,Train,Video1,1
False,,1,['cell phone'],False,,0,[],1,center,0.4687669882472381,GREEN,36.0,0,0,0,5.525312072963655,forward,white,True,1,0-00-43.100000,1,1,Train,Video1,1
True,,0,[],False,,0,[],0,,0.0,,0.0,0,0,0,0.0,,,False,1,0-01-41.750000,1,1,Train,Video1,1
True,,0,[],False,,0,[],1,center,0.4677395126500378,GREEN,145.0,0,0,0,8.809163081123748,forward,white,True,1,0-01-35.500000,1,1,Train,Video1,1
True,,0,[],False,,1,['headphone'],1,center,0.481614641307647,ORANGE,660.0,0,0,0,6.653399051426482,forward,white,True,1,0-02-20.300000,1,1,Train,Video1,1
True,,0,[],False,,0,[],1,center,0.4394690514817857,ORANGE,596.5,0,0,0,17.615646704329702,down,red,True,1,0-02-28.550000,1,1,Train,Video1,1
True,,0,[],False,,0,[],0,,0.0,,0.0,0,0,0,0.0,,,False,1,0-01-53.150000,1,1,Train,Video1,1
False,,0,[],False,,0,[],2,,0.0,,0.0,0,0,0,0.0,,,True,1,0-02-06.800000,1,1,Train,Video1,1
True,123.4908903522847,1,['cell phone'],False,,0,[],1,center,0.4550725827824858,GREEN,97.5,0,0,0,3.0142231731042175,forward,white,True,1,0-00-35.900000,1,1,Train,Video1,1
True,93.33809511662427,1,['cell phone'],False,,0,[],1,left,0.5976881708444355,GREEN,106.5,0,0,0,27.658131555179125,left,red,True,1,0-00-47.700000,1,1,Train,Video1,1
True,85.38149682454625,1,['cell phone'],False,,0,[],1,center,0.433378886060741,GREEN,66.5,0,0,0,5.464488088776157,forward,white,True,1,0-01-01.200000,1,1,Train,Video1,1
True,,0,[],False,,0,[],0,,0.0,,0.0,0,0,0,0.0,,,False,1,0-01-41.100000,1,1,Train,Video1,1
True,,0,[],False,,1,['headphone'],1,center,0.46354060067683006,GREEN,147.0,0,0,0,4.987203799174946,forward,white,True,1,0-00-03.500000,1,1,Train,Video1,1
True,,0,[],False,,0,[],0,,0.0,,0.0,0,0,0,0.0,,,True,1,0-01-36.100000,1,1,Train,Video1,1
True,,0,[],False,,0,[],0,,0.0,,0.0,0,0,0,0.0,,,True,1,0-01-38.450000,1,1,Train,Video1,1
True,,0,[],False,,1,['headphone'],1,center,0.47944931460396556,GREEN,24.0,0,0,0,2.4807835127356235,forward,white,True,1,0-01-30.200000,1,1,Train,Video1,1
True,122.0245876862528,1,['cell phone'],False,,0,[],1,center,0.4859011416119772,GREEN,131.0,0,0,0,2.7145235320176093,forward,white,True,1,0-00-35.800000,1,1,Train,Video1,1
True,,0,[],False,,0,[],2,,0.0,,0.0,0,0,0,0.0,,,True,1,0-02-14.200000,1,1,Train,Video1,1
True,94.847245611035,1,['cell phone'],False,,0,[],1,left,0.6796276660305849,YELLOW,182.0,0,0,0,31.407132012836218,left,red,True,1,0-00-48.450000,1,1,Train,Video1,1
True,,0,[],False,,1,['headphone'],1,center,0.49623583103198016,GREEN,28.0,0,0,0,6.59377530789311,forward,white,True,1,0-00-22.500000,1,1,Train,Video1,1
True,,0,[],False,,0,[],1,center,0.4859011416119772,YELLOW,381.5,0,0,0,17.44762593525439,down,red,True,1,0-02-28.350000,1,1,Train,Video1,1
True,106.21675950620975,1,['cell phone'],False,,1,['headphone'],1,right,0.37730771408905905,GREEN,115.0,0,0,0,4.495665541846395,forward,white,True,1,0-01-13.650000,1,1,Train,Video1,1
True,108.70602559196064,1,['cell phone'],False,,0,[],1,center,0.4220215513229412,GREEN,96.5,0,0,0,5.3053327446455025,forward,white,True,1,0-00-57.500000,1,1,Train,Video1,1
True,78.33900688673555,1,['watch'],False,,0,[],1,center,0.4655337497617296,YELLOW,170.0,0,0,0,1.4911186145753197,forward,white,True,1,0-01-02.950000,1,1,Train,Video1,1
True,98.99494936611666,1,['cell phone'],False,,0,[],1,left,0.6201736729460423,GREEN,53.0,0,0,0,20.879467691972803,left,red,True,1,0-00-46.800000,1,1,Train,Video1,1
True,,0,[],False,,1,['headphone'],2,,0.0,,0.0,0,0,0,0.0,,,True,1,0-02-04.650000,1,1,Train,Video1,1
True,,0,[],False,,0,[],2,,0.0,,0.0,0,0,0,0.0,,,True,1,0-02-04.150000,1,1,Train,Video1,1
True,,0,[],False,,1,['headphone'],1,center,0.49029033784546006,GREEN,108.5,0,0,0,7.327667087009663,forward,white,True,1,0-00-07.100000,1,1,Train,Video1,1
True,,0,[],False,,1,['headphone'],1,center,0.4655337497617296,GREEN,65.0,0,0,0,6.833878545489389,forward,white,True,1,0-00-17.650000,1,1,Train,Video1,1
