H-Hand Detected,H-Distance,H-Illegal Objects,H-Prohibited Item,F-Hand Detected,F-Distance,F-Illegal Objects,F-Prohibited Item,num_faces,iris_pos,iris_ratio,mouth_zone,mouth_area,x_rotation,y_rotation,z_rotation,radial_distance,gaze_direction,gaze_zone,verification_result,Cheat Score,timestamp,face_is_cheating,hand_is_cheating,split,video,is_cheating
True,,0,[],False,,0,[],1,center,0.48023308770379397,YELLOW,341.5,0,0,0,4606.340228222508,right,red,True,1,0:01:59.050000,1,1,Train,Video1,1
True,,0,[],False,,1,['headphone'],1,center,0.45144933577930424,GREEN,22.0,0,0,0,3077.3271671100283,right,red,True,1,0:00:10.150000,1,1,Train,Video1,1
True,78.33900688673555,1,['watch'],False,,0,[],1,center,0.4655337497617296,YELLOW,170.0,0,0,0,64868.93984555954,left,red,True,1,0:01:02.950000,1,1,Train,Video1,1
True,93.50935782048768,1,['cell phone'],False,,0,[],0,,0.0,,0.0,0,0,0,0.0,,,False,1,0:00:51.150000,1,1,Train,Video1,1
True,66.70832032063167,1,['cell phone'],False,,1,['headphone'],1,right,0.3905124837953327,GREEN,31.5,0,0,0,64892.379655108554,left,red,True,1,0:01:20.200000,1,1,Train,Video1,1
True,,0,[],False,,0,[],1,center,0.5256974676332751,YELLOW,474.0,0,0,0,64829.636572315474,left,red,True,1,0:01:57.650000,1,1,Train,Video1,1
True,238.66294224282078,1,['closedbook'],False,,0,[],0,,0.0,,0.0,0,0,0,0.0,,,False,1,0:01:48.700000,1,1,Train,Video1,1
True,91.21951545584969,1,['cell phone'],False,,0,[],1,left,0.6473601350938059,GREEN,39.5,0,0,0,2067.2375462764153,right,red,False,1,0:00:53.300000,1,1,Train,Video1,1
True,,0,[],False,,0,[],1,left,0.6133080702149823,GREEN,14.5,0,0,0,64789.96177232875,left,red,False,1,0:01:35.800000,1,1,Train,Video1,1
True,327.099373279742,2,"['cell phone', 'cell phone']",False,,0,[],1,center,0.4871403283263102,GREEN,54.0,0,0,0,4119.317096841282,right,red,True,1,0:00:34.550000,1,1,Train,Video1,1
True,,0,[],False,,0,[],1,center,0.47434164902525694,YELLOW,433.5,0,0,0,1813.1216007262567,right,red,False,1,0:02:29.100000,1,1,Train,Video1,1
True,,0,[],False,,1,['headphone'],1,center,0.45041373360313114,GREEN,56.5,0,0,0,3122.4193350255714,right,red,True,1,0:00:08.150000,1,1,Train,Video1,1
True,109.04127658827184,1,['cell phone'],False,,0,[],1,center,0.5230534443633628,GREEN,71.5,0,0,0,3133.970564864413,right,red,True,1,0:00:45.750000,1,1,Train,Video1,1
True,,0,[],False,,1,['headphone'],1,center,0.4609209615325419,GREEN,78.0,0,0,0,4116.389900947538,right,red,True,1,0:00:04.250000,1,1,Train,Video1,1
True,86.55634003352961,1,['cell phone'],False,,0,[],1,left,0.5838225812402666,GREEN,93.0,0,0,0,64797.59490254141,left,red,True,1,0:00:47.550000,1,1,Train,Video1,1
True,,0,[],False,,0,[],1,center,0.4472135954999579,GREEN,149.0,0,0,0,65018.64068644018,left,red,True,1,0:02:04.050000,1,1,Train,Video1,1
True,,0,[],False,,1,['headphone'],1,center,0.4630073305535021,GREEN,30.5,0,0,0,4836.043608393474,right,red,True,1,0:00:21.850000,1,1,Train,Video1,1
True,,0,[],False,,1,['headphone'],1,center,0.5129203138131182,GREEN,50.5,0,0,0,64822.61140293634,left,red,True,1,0:01:36.950000,1,1,Train,Video1,1
True,,0,[],False,,0,[],1,center,0.5116294615074009,ORANGE,566.0,0,0,0,4458.961705646559,right,red,True,1,0:01:57.550000,1,1,Train,Video1,1
True,,0,[],False,,1,['headphone'],1,center,0.5135276218826073,YELLOW,175.0,0,0,0,64891.43261507034,left,red,True,1,0:00:13.900000,1,1,Train,Video1,1
False,,1,['cell phone'],True,140.68759717899798,1,['headphone'],1,right,0.4052112080719046,GREEN,93.5,0,0,0,2579.029167825164,right,red,True,1,0:01:11.650000,1,1,Train,Video1,1
True,,0,[],False,,0,[],1,center,0.45863365291505476,YELLOW,312.5,0,0,0,5060.481547976437,right,red,True,1,0:01:59.600000,1,1,Train,Video1,1
